id,job_geo_coordinate,start_geo_coordinate,travel_time,installers_required,expected_job_time,est_installation_date,installation_date,arrival_start_time,arrival_end_time,INSTALLER_IDs
70307,"-34.7996109,138.7078888","-34.7810071,138.6461490",13.0,1,120.0,2023-01-14,2023-01-06,08:13:00,10:13:00,0
70920,"-34.8307492,138.7029293","-34.7810071,138.6461490",14.0,1,60.0,2023-01-14,2023-01-06,08:15:00,09:15:00,1
71451,"-34.7705843,138.7344186","-34.7810071,138.6461490",15.0,1,60.0,2023-01-14,2023-01-06,08:15:00,09:15:00,2
71097,"-34.8727383,138.6442177","-34.7810071,138.6461490",19.0,1,90.0,2023-01-14,2023-01-06,08:19:00,09:49:00,3
71069,"-34.878409,138.5853056","-34.7810071,138.6461490",19.0,1,240.0,2023-01-14,2023-01-06,08:19:00,12:19:00,4
70825,"-34.8847309,138.6721202","-34.7810071,138.6461490",21.0,1,120.0,2023-01-14,2023-01-06,09:28:00,11:28:00,1
71374,"-34.8815709,138.6713833","-34.7810071,138.6461490",21.0,1,120.0,2023-01-14,2023-01-06,09:37:00,11:37:00,2
70822,"-34.8922422,138.613558","-34.7810071,138.6461490",22.0,2,240.0,2023-01-14,2023-01-06,10:36:00,14:36:00,"3,0"
69844,"-34.887275,138.6506171","-34.7810071,138.6461490",23.0,1,90.0,2023-01-14,2023-01-06,11:33:00,13:03:00,1
70566,"-34.9009458,138.6297647","-34.7810071,138.6461490",23.0,1,60.0,2023-01-14,2023-01-06,11:45:00,12:45:00,2
69449,"-34.905429,138.578538","-34.7810071,138.6461490",25.0,1,60.0,2023-01-14,2023-01-06,12:57:00,13:57:00,2
68603,"-34.6072998,138.7535211","-34.7810071,138.6461490",26.0,1,60.0,2023-01-14,2023-01-06,13:48:00,14:48:00,1
70420,"-34.8941852,138.5358478","-34.7810071,138.6461490",26.0,1,60.0,2023-01-14,2023-01-06,14:07:00,15:07:00,2
70903,"-34.9186748,138.5397291","-34.7810071,138.6461490",26.0,2,240.0,2023-01-14,2023-01-09,08:26:00,12:26:00,"2,3"
70484,"-34.8941852,138.5358478","-34.7810071,138.6461490",26.0,1,120.0,2023-01-14,2023-01-09,08:26:00,10:26:00,0
71516,"-34.9225441,138.6440962","-34.7810071,138.6461490",28.0,1,240.0,2023-01-14,2023-01-09,08:28:00,12:28:00,1
69750,"-34.9320234,138.6351679","-34.7810071,138.6461490",29.0,2,180.0,2023-01-14,2023-01-09,10:49:00,13:49:00,"4,0"
71270,"-34.8854663,138.5061722","-34.7810071,138.6461490",29.0,1,60.0,2023-01-14,2023-01-09,12:59:00,13:59:00,1
71692,"-34.8854663,138.5061722","-34.7810071,138.6461490",29.0,1,60.0,2023-01-14,2023-01-09,13:59:00,14:59:00,1
71654,"-34.9195298,138.6889942","-34.7810071,138.6461490",29.0,2,90.0,2023-01-14,2023-01-09,13:59:00,15:29:00,"0,4"
71273,"-34.9350702,138.6498142","-34.7810071,138.6461490",30.0,1,60.0,2023-01-14,2023-01-09,15:37:00,16:37:00,4
70784,"-34.9287987,138.6092996","-34.7810071,138.6461490",31.0,1,30.0,2023-01-14,2023-01-09,16:45:00,17:15:00,4
71413,"-34.9249369,138.6018562","-34.7810071,138.6461490",31.0,1,300.0,2023-01-14,2023-01-10,08:31:00,13:31:00,4
70199,"-34.9442133,138.6698709","-34.7810071,138.6461490",33.0,1,90.0,2023-01-14,2023-01-10,08:33:00,10:03:00,0
70682,"-34.9487978,138.6498683","-34.7810071,138.6461490",33.0,1,90.0,2023-01-14,2023-01-10,08:33:00,10:03:00,1
70886,"-34.9699294,138.5533336","-34.7810071,138.6461490",33.0,1,120.0,2023-01-14,2023-01-10,08:32:00,10:32:00,2
70089,"-34.9592692,138.6526538","-34.7810071,138.6461490",34.0,1,60.0,2023-01-14,2023-01-10,08:35:00,09:35:00,3
71527,"-34.9638384,138.5463398","-34.7810071,138.6461490",34.0,2,240.0,2023-01-14,2023-01-10,10:24:00,14:24:00,"3,1"
