id,job_geo_coordinate,lat,long,installers_required,expected_job_time,est_installation_date,installation_date,arrival_start_time,arrival_end_time,installer_ids,cluster,centroid
70903,"-34.9186748,138.5397291",-34.9186748,138.5397291,2,240.0,2023-01-14,,,,,14,"-34.9007279,138.5199928"
71899,"-35.5736137,138.5885685",-35.5736137,138.5885685,2,60.0,2023-01-14,,,,,3,"-35.5390725,138.6306281"
70822,"-34.8922422,138.613558",-34.8922422,138.613558,2,240.0,2023-01-14,,,,,19,"-34.8848132,138.6141255"
69750,"-34.9320234,138.6351679",-34.9320234,138.6351679,2,180.0,2023-01-14,,,,,9,"-34.9320234,138.6351679"
70307,"-34.7996109,138.7078888",-34.7996109,138.7078888,1,120.0,2023-01-14,,,,,17,"-34.7996109,138.7078888"
70199,"-34.9442133,138.6698709",-34.9442133,138.6698709,1,90.0,2023-01-14,,,,,9,"-34.9320234,138.6351679"
71451,"-34.7705843,138.7344186",-34.7705843,138.7344186,1,60.0,2023-01-14,,,,,17,"-34.7996109,138.7078888"
71516,"-34.9225441,138.6440962",-34.9225441,138.6440962,1,240.0,2023-01-14,,,,,9,"-34.9320234,138.6351679"
70089,"-34.9592692,138.6526538",-34.9592692,138.6526538,1,60.0,2023-01-14,,,,,9,"-34.9320234,138.6351679"
69844,"-34.887275,138.6506171",-34.887275,138.6506171,1,90.0,2023-01-14,,,,,10,"-34.8968945,138.6811783"
69449,"-34.905429,138.578538",-34.905429,138.578538,1,60.0,2023-01-14,,,,,19,"-34.8848132,138.6141255"
68603,"-34.6072998,138.7535211",-34.6072998,138.7535211,1,60.0,2023-01-14,,,,,8,"-34.6072998,138.7535211"
70784,"-34.9287987,138.6092996",-34.9287987,138.6092996,1,30.0,2023-01-14,,,,,9,"-34.9320234,138.6351679"
70825,"-34.8847309,138.6721202",-34.8847309,138.6721202,1,120.0,2023-01-14,,,,,10,"-34.8968945,138.6811783"
70420,"-34.8941852,138.5358478",-34.8941852,138.5358478,1,60.0,2023-01-14,,,,,14,"-34.9007279,138.5199928"
70591,"-35.1319129,138.5004589",-35.1319129,138.5004589,1,60.0,2023-01-14,,,,,18,"-35.1319129,138.5004589"
71097,"-34.8727383,138.6442177",-34.8727383,138.6442177,1,90.0,2023-01-14,,,,,19,"-34.8848132,138.6141255"
70886,"-34.9699294,138.5533336",-34.9699294,138.5533336,1,120.0,2023-01-14,,,,,0,"-34.9833229,138.5839169"
70912,"-35.4250245,138.3265853",-35.4250245,138.3265853,1,150.0,2023-01-14,,,,,16,"-35.4250245,138.3265853"
71069,"-34.878409,138.5853056",-34.878409,138.5853056,1,240.0,2023-01-14,,,,,19,"-34.8848132,138.6141255"
70484,"-34.8941852,138.5358478",-34.8941852,138.5358478,1,120.0,2023-01-14,,,,,14,"-34.9007279,138.5199928"
71525,"-33.0286227,137.5444913",-33.0286227,137.5444913,2,240.0,2023-01-14,,,,,2,"-33.0286227,137.5444913"
70566,"-34.9009458,138.6297647",-34.9009458,138.6297647,1,60.0,2023-01-14,,,,,19,"-34.8848132,138.6141255"
71270,"-34.8854663,138.5061722",-34.8854663,138.5061722,1,60.0,2023-01-14,,,,,14,"-34.9007279,138.5199928"
71273,"-34.9350702,138.6498142",-34.9350702,138.6498142,1,60.0,2023-01-14,,,,,9,"-34.9320234,138.6351679"
71264,"-35.0348517,138.6197426",-35.0348517,138.6197426,1,60.0,2023-01-14,,,,,0,"-34.9833229,138.5839169"
71692,"-34.8854663,138.5061722",-34.8854663,138.5061722,1,60.0,2023-01-14,,,,,14,"-34.9007279,138.5199928"
71413,"-34.9249369,138.6018562",-34.9249369,138.6018562,1,300.0,2023-01-14,,,,,9,"-34.9320234,138.6351679"
70920,"-34.8307492,138.7029293",-34.8307492,138.7029293,1,60.0,2023-01-14,,,,,17,"-34.7996109,138.7078888"
71654,"-34.9195298,138.6889942",-34.9195298,138.6889942,2,90.0,2023-01-14,,,,,10,"-34.8968945,138.6811783"
71527,"-34.9638384,138.5463398",-34.9638384,138.5463398,2,240.0,2023-01-14,,,,,0,"-34.9833229,138.5839169"
71374,"-34.8815709,138.6713833",-34.8815709,138.6713833,1,120.0,2023-01-14,,,,,10,"-34.8968945,138.6811783"
70682,"-34.9487978,138.6498683",-34.9487978,138.6498683,1,90.0,2023-01-14,,,,,9,"-34.9320234,138.6351679"
2223,"-34.9007279,138.5199928",-34.9007279,138.5199928,1,150.0,2023-01-15,15/01/2023,08:25:00,10:55:00,1.0,14,"-34.9007279,138.5199928"
66649,"-34.8972067,138.6858784",-34.8972067,138.6858784,1,120.0,2023-01-15,,,,,10,"-34.8968945,138.6811783"
67222,"-34.9691207,138.7440431",-34.9691207,138.7440431,1,240.0,2023-01-15,,,,,10,"-34.8968945,138.6811783"
2363,"-34.9336734,138.5141918",-34.9336734,138.5141918,1,120.0,2023-01-15,15/01/2023,11:02:00,01:02:00,1.0,14,"-34.9007279,138.5199928"
2370,"-34.8408831,138.6441389",-34.8408831,138.6441389,1,8.0,2023-01-15,15/01/2023,08:00:00,10:00:00,,4,"-34.8409268,138.6555523"
2448,"-34.8915278,138.6738478",-34.8915278,138.6738478,1,120.0,2023-01-15,,,,,10,"-34.8968945,138.6811783"
2521,"-34.9032498,138.6618199",-34.9032498,138.6618199,1,180.0,2023-01-15,,,,,10,"-34.8968945,138.6811783"
2561,"-34.6825781,138.6693345",-34.6825781,138.6693345,1,240.0,2023-01-15,,,,,12,"-34.6825781,138.6693345"
2592,"-34.8790745,138.6556894",-34.8790745,138.6556894,1,6.0,2023-01-15,,,,,10,"-34.8968945,138.6811783"
2608,"-34.9858139,138.6145757",-34.9858139,138.6145757,1,120.0,2023-01-15,,,,,0,"-34.9833229,138.5839169"
2662,"-34.9578161,138.569472",-34.9578161,138.569472,1,120.0,2023-01-15,,,,,0,"-34.9833229,138.5839169"
2657,"-34.7720571,138.7089082",-34.7720571,138.7089082,1,240.0,2023-01-15,,,,,17,"-34.7996109,138.7078888"
2702,"-34.7561355,138.6514788",-34.7561355,138.6514788,1,180.0,2023-01-15,,,,,17,"-34.7996109,138.7078888"
65745,"-35.5390725,138.6306281",-35.5390725,138.6306281,1,259.8,2023-01-15,,,,,3,"-35.5390725,138.6306281"
2758,"-34.90805,138.6443909",-34.90805,138.6443909,1,120.0,2023-01-15,,,,,9,"-34.9320234,138.6351679"
66748,"-34.8864654,138.6527321",-34.8864654,138.6527321,1,180.0,2023-01-15,,,,,10,"-34.8968945,138.6811783"
66792,"-34.9900272,138.5161568",-34.9900272,138.5161568,1,240.0,2023-01-15,,,,,0,"-34.9833229,138.5839169"
66769,"-34.8421062,138.5087053",-34.8421062,138.5087053,1,60.0,2023-01-15,,,,,11,"-34.8361309,138.4968655"
