id,job_geo_coordinate,Latitude,Longitude,installers_required,expected_job_time,est_installation_date,pref_date,pref_day,pref_installer,pref_time_window,installation_date,arrival_start_time,arrival_end_time,installer_ids,status
2223,"-34.9007279,138.5199928",-34.9007279,138.5199928,1,150,15/01/2023,15/02/2023,1.0,2.0,"10:00,12:30",15/01/2023,08:25:00,10:55:00,1.0,
2363,"-34.9336734,138.5141918",-34.9336734,138.5141918,1,120,17/01/2023,,,2.0,,09/02/2023,08:42,10:42,2,Scheduled
2370,"-34.8408831,138.6441389",-34.8408831,138.6441389,1,8,10/01/2023,,1.0,,,15/01/2023,08:00:00,10:00:00,,
2448,"-34.8915278,138.6738478",-34.8915278,138.6738478,1,120,28/01/2023,15/02/2023,,,"13:00,16:00",,,,,
2521,"-34.9032498,138.6618199",-34.9032498,138.6618199,1,180,28/01/2023,,2.0,,,,,,,
2561,"-34.6825781,138.6693345",-34.6825781,138.6693345,1,240,15/01/2023,16/02/2023,,,,,,,,
2592,"-34.8790745,138.6556894",-34.8790745,138.6556894,1,6,26/01/2023,,3.0,2.0,,09/02/2023,11:11,11:17,2,Scheduled
2608,"-34.9858139,138.6145757",-34.9858139,138.6145757,2,120,15/01/2023,,,,,09/02/2023,12:53,14:53,3,Scheduled
2657,"-34.7720571,138.7089082",-34.7720571,138.7089082,1,240,15/02/2023,23/02/2023,4.0,,,,,,,
2662,"-34.9578161,138.569472",-34.9578161,138.569472,2,120,15/02/2023,,,3.0,,09/02/2023,10:42,12:42,3,Scheduled
2702,"-34.7561355,138.6514788",-34.7561355,138.6514788,1,180,15/01/2023,,0.0,1.0,,13/02/2023,08:07,11:07,1,Scheduled
2705,"-34.8220291,138.7226326",-34.8220291,138.7226326,1,240,16/02/2023,26/02/2023,,,,,,,,
2719,"-34.9223373,138.6722414",-34.9223373,138.6722414,1,180,18/02/2023,,0.0,,,13/02/2023,08:32,11:32,2,Scheduled
2745,"-34.8531802,138.6163567",-34.8531802,138.6163567,2,120,19/01/2023,,,,,09/02/2023,08:17,10:17,3,Scheduled
